deli_num,hyp_num,url_len,dot_num,nor_tld_token,sus_word_token,ip_in_hostname,url,label
0,0,32,2,1,0,1,gv.aff007.club/chan/xb1622/aB9Cq,4
0,0,15,2,1,1,1,www.yyav523.xyz,2
0,0,14,1,1,0,1,chuanqi888.xyz,4
0,0,18,2,0,0,1,5mzs06.jstv300.com,2
0,0,10,1,1,0,1,hhk193.xyz,2
0,0,8,1,1,0,1,27mm.top,2
0,0,12,1,0,0,1,qiezisp4.com,2
0,0,15,2,1,0,1,app2.jifenfa.cn,4
0,0,10,1,0,0,1,533129.com,8
0,0,10,1,0,0,1,ky2220.com,9
0,0,13,1,0,0,1,taotaofan.com,6
0,0,14,1,0,0,1,qiaoqizhai.com,2
0,0,12,3,1,0,0,119.8.50.152,4
1,1,24,2,0,1,1,www.microwave-sensor.com,6
0,0,15,2,0,1,1,www.gb50135.com,2
0,0,12,2,0,1,1,www.066f.com,2
0,0,15,1,0,0,1,getthecraic.com,2
0,0,9,1,0,0,1,zqyzn.com,2
0,0,14,2,0,1,1,www.3318mk.com,6
0,0,13,2,1,0,1,311.01748.top,4
0,0,22,2,0,1,1,www.icmarketsnews.com ,10
0,0,19,2,0,0,1,spa1069.ganlan8.com,2
0,0,14,1,0,0,1,wujianblog.com,2
0,0,18,1,0,0,1,jinniuhardware.com,6
0,0,11,1,0,0,1,mayisss.com,2
0,0,11,1,0,0,1,bf39825.com,8
0,0,13,2,0,1,1,www.aqd50.com,6
0,0,14,2,0,0,1,dai.gcsgz.com ,10
0,0,14,1,0,0,1,kenafchina.com,2
0,0,15,3,1,0,1,488.99042.top/.,4
0,0,16,2,0,1,1,www.xiuyan3d.com,2
0,0,12,1,0,0,1,mx00007.com ,11
0,0,13,1,1,0,1,gabriels.guru,4
0,0,14,2,0,1,1,www.gasywl.com,2
0,0,18,2,1,1,1,www.gsdfsdfffa.top,4
0,0,14,2,0,1,1,www.ctqsyh.com,2
0,0,13,2,0,1,1,www.027kr.com,2
0,0,11,1,0,0,1,5915888.com,2
0,0,18,2,0,1,1,www.httphga030.com,2
0,0,13,1,1,0,1,italygood.cn ,10
0,0,17,2,0,1,1,www.ciscosafe.com,6
0,0,9,1,0,0,1,fzloo.com,2
0,0,11,1,0,0,1,dxj1117.com,2
0,0,20,2,1,1,1,http://www.nbyjjj.cn,11
0,0,14,2,0,1,1,www.lqhbgs.com,2
0,0,11,1,0,0,1,101897.com ,11
0,0,18,1,0,0,1,gzdonglingying.com,2
0,0,23,2,0,1,1,https://www.xyfxzx.com/,11
10,10,59,3,0,0,1,46236--shop--qd8--com--cn--86c28a8pd.3pco.ourwebpicvip.com ,10
0,0,15,2,1,0,1,am181.74035.vip,9
0,0,12,1,0,0,1,zhshanda.com,2
0,0,9,1,0,0,1,ny116.com,2
0,0,11,1,0,0,1,7891219.com,2
0,0,10,1,0,0,1,64fang.com,2
0,0,14,2,1,1,1,www.kj4l3c.vip,4
0,0,8,1,1,0,1,tym.asia,4
0,0,14,1,0,0,1,caidaobang.com,6
0,0,9,1,0,0,1,hbang.com,6
0,0,25,2,0,1,1,www.doktertanambenang.com,2
0,0,18,2,1,0,1,mobile.56truck.cn ,11
0,0,17,1,0,0,1,jibailiao1111.com,4
0,0,14,2,0,1,1,www.qytssy.com,2
0,0,22,2,0,1,1,http://www.dgyues.com/,10
0,0,14,2,1,1,1,www.hpbisl.vip,4
0,0,14,2,0,1,1,www.6080my.com,2
0,0,10,1,0,0,1,52hnlv.com,2
0,0,15,2,1,0,1,xiao.g93snl.xyz,8
0,0,14,1,0,0,1,yudadianzi.com,2
0,0,9,1,0,0,1,clcc2.com,6
0,0,11,1,0,0,1,frccds.com ,10
0,0,20,3,1,1,1,www.link.56truck.cn ,11
0,0,10,1,1,0,1,ctbang.cn ,10
0,0,16,2,0,0,1,m.jiqianhua.com ,10
0,0,16,1,0,0,1,http://68hg.com/,11
2,2,27,1,0,0,1,classcroute-st-nazaire.com ,10
0,0,11,1,1,0,1,llyshow.top,2
0,0,18,1,0,0,1,jisuxiadan123.com ,11
0,0,18,2,0,0,1,avw783.51upsun.com,4
0,0,11,2,0,1,1,www.u21.com,6
0,0,13,2,0,1,1,www.oktjy.com,4
0,0,12,1,0,0,1,smshinee.com,2
0,0,9,1,0,0,1,x3218.com,6
0,0,10,1,0,0,1,etage4.com,6
0,0,13,2,0,1,1,www.15517.com,9
0,0,13,2,0,1,1,www.2888g.com,2
0,0,19,2,0,1,1,www.18576001656.com,9
0,0,24,3,0,0,1,period.apps.520guimi.com,6
0,0,18,3,1,0,0,47.242.74.228:5050,1
0,0,14,2,0,1,1,www.477848.com,9
0,0,7,1,1,0,1,wwww.cn,3
0,0,11,1,0,0,1,52dgqq.com ,11
1,1,13,1,0,0,1,joypet-cn.com,2
0,0,13,1,0,0,1,hnstyffbw.com,2
0,0,31,2,1,0,1,bo.aff007.club/chan/bu2029/JUbM,4
0,0,15,2,0,1,1,www.yhls988.com,10
0,0,11,1,0,0,1,188hdpt.com,2
0,0,9,1,0,0,1,9315v.com,9
0,0,9,1,1,0,1,i9996.cn ,11
0,0,13,2,0,1,1,www.rgcmc.com,2
1,1,19,1,0,0,1,http://ataw-art.com,10
0,0,12,1,1,0,1,shenqiji.xyz,4
0,0,9,1,1,0,1,dwmyl.top,2
0,0,15,1,0,0,1,lazyshit101.com,4
0,0,20,1,0,0,1,http://116change.com,10
0,0,15,3,1,1,1,www.sfzx.net.cn,2
0,0,12,1,0,0,1,juboying.com,2
0,0,11,1,0,0,1,laikan.org ,10
0,0,12,1,0,0,1,pos1866.com ,10
0,0,10,1,0,0,1,keaiju.com,2
0,0,12,2,0,0,1,m.jj1808.com,8
0,0,23,2,1,0,1,1462155071352.szmuzu.cn,6
0,0,28,2,0,1,1,www.lowcarbondevelopment.com,6
0,0,23,3,1,1,1,www.android.56truck.cn ,11
0,0,16,3,1,0,1,p54.awyp.com.tw ,10
0,0,27,2,0,1,1,www.theprogressproject.com ,10
0,0,14,2,0,1,1,www.jjwxq.com ,10
0,0,10,1,0,0,1,cf888a.com,2
0,0,10,1,0,0,1,bdhsea.com,4
0,0,9,1,0,0,1,3fyq0.com,4
0,0,22,2,0,1,1,http://www.ggff100.com,11
0,0,15,1,0,0,1,laigoufenqi.com,2
0,0,9,1,0,0,1,y5528.com,2
0,0,14,2,0,1,1,www.cbusmx.com,2
0,0,9,1,0,0,1,yi527.com,2
0,0,6,1,1,0,1,jul.cn,6
0,0,16,2,0,1,1,www.0571snyw.com,2
0,0,9,1,0,0,1,hkk68.com,6
0,0,22,2,0,1,1,http://www.csqixia.com,11
0,0,12,1,0,0,1,hncjzfdx.com,2
0,0,15,2,0,1,1,www.mgstone.net,2
0,0,10,1,0,0,1,3fyq12.com,4
0,0,14,2,1,1,1,www.debiwz.vip,11
0,0,13,2,0,1,1,www.zb660.com,9
0,0,10,1,0,0,1,fq238.com/,4
0,0,19,2,1,0,1,http://wxj.zmtsq.cn,11
0,0,14,2,0,1,1,www.hb5672.com,8
0,0,10,1,0,0,1,ccxgyx.com,6
0,0,17,2,0,1,1,www.eclawyer.com ,11
0,0,15,3,1,1,1,www.flfw.com.cn,2
0,0,22,2,0,1,1,www.longtengbofeng.com,2
0,0,13,2,1,0,1,a.hqvwybw.top,4
0,0,12,2,1,1,1,www.xieo.cn ,10
0,0,9,1,0,0,1,dejhn.com,4
0,0,25,2,0,1,1,https://www.cffengmi.com/,10
0,0,15,2,1,0,1,qkl.meta988.cn ,10
0,0,10,1,0,0,1,weide2.com,9
0,0,20,2,0,1,1,www.baronessbbt.com ,10
0,0,14,2,0,1,1,www.cddizi.com,2
0,0,12,1,0,0,1,tfcpwz02.com,8
0,0,10,1,0,0,1,sdbysp.com,2
0,0,14,2,0,1,1,www.24xpxp.com,2
0,0,17,2,1,1,1,www.gshdasdaf.top,4
0,0,14,2,0,1,1,www.bit303.com,2
0,0,10,1,0,0,1,868myw.com,6
1,1,18,2,0,1,1,www.eyes-shine.com,2
0,0,29,2,1,0,1,jra7mn2dzp6exha5.laosep55.top,6
0,0,17,2,0,1,1,www.yishanysj.com,2
0,0,10,1,0,0,1,jsjxqg.com,6
0,0,10,1,0,0,1,794384.com,2
0,0,10,1,0,0,1,jh0517.com,2
0,0,10,1,0,0,1,cacg22.com,9
0,0,13,1,1,0,1,token123.top ,10
0,0,29,2,0,0,1,bo.aff007.co/chan/bu1520/BQAt,4
0,0,10,1,0,0,1,hbdlsd.com,2
0,0,12,2,0,1,1,www.5ud6.com,2
0,0,11,1,0,0,1,0755hlg.com,2
0,0,15,2,0,1,1,www.6784519.com,2
0,0,11,2,1,0,1,gcqf.com.cn,6
1,1,17,2,0,1,1,www.cn41-1390.com,2
0,0,24,2,0,0,1,story.mollamidwifery.com,6
0,0,19,1,0,0,1,qdhuashengcheng.com,2
0,0,10,1,0,0,1,cc0558.com,9
0,0,14,2,0,1,1,www.downwj.com,6
0,0,15,2,0,1,1,www.jscisco.com,2
0,0,19,1,0,0,1,cangzhouguangda.com,6
0,0,14,2,0,1,1,www.lscfd.net ,10
0,0,14,2,0,1,1,www.dgcdzs.com,2
0,0,15,1,0,0,1,hoki99bet25.net,4
0,0,14,2,0,1,1,www.dbnpig.com,2
0,0,14,2,1,0,1,623.43726.top/,4
0,0,7,1,0,0,1,9822.us,4
0,0,18,2,0,1,1,www.shuanhotel.com,6
0,0,10,1,0,0,1,dk522.com ,10
0,0,12,1,0,0,1,tapiange.com,6
0,0,9,1,0,0,1,yw373.com,2
1,1,9,1,0,0,1,6-222.com,6
0,0,11,1,0,0,1,xmhuoda.com,6
0,0,10,1,0,0,1,ncdfjd.com,2
0,0,14,2,1,0,1,ntjjkf.com.cn ,11
0,0,13,2,0,1,1,www.vn857.com,2
0,0,10,1,0,0,1,aitaof.com,2
0,0,27,2,0,1,1,www.nuithngwo3iurhnfu3r.com,4
0,0,14,2,0,1,1,www.bdr110.com,2
0,0,12,2,0,1,1,www.1zr.com ,10
0,0,16,2,0,1,1,www.ikanuoqi.com,6
0,0,22,2,0,0,1,app.siamcrafthouse.com,6
1,1,21,2,0,0,1,m.himawari-japan.com ,10
0,0,11,1,0,0,1,exx2013.com,2
0,0,12,1,1,0,1,gupiaojs.cn ,10
0,0,13,2,0,1,1,www.wpscg.com,2
0,0,21,1,0,0,1,http://youxizaids.com,11
0,0,14,2,0,1,1,www.gdnfdy.com,6
0,0,11,1,0,0,1,baileyi.com,2
0,0,9,1,0,0,1,013kj.com,9
1,1,17,2,0,1,1,www.www-42189.com,2
0,0,9,1,0,0,1,51xgo.com,2
0,0,13,2,1,0,1,ios.googu.top,4
0,0,34,2,1,0,1,tren.app002.life/chan/tren0046/ynD,4
