deli_num,hyp_num,url_len,dot_num,nor_tld_token,sus_word_token,ip_in_hostname,label
0,0,8,1,1,0,1,0
5,5,43,3,0,0,1,0
0,0,34,4,0,0,1,0
0,0,24,2,0,0,1,0
1,1,33,3,0,0,1,0
0,0,47,4,0,0,1,0
5,5,45,3,0,0,1,0
5,5,45,3,1,0,1,0
5,5,45,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,48,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,36,4,0,0,1,0
5,5,42,3,1,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,1,0,1,0
5,5,44,3,1,0,1,0
0,0,34,4,0,0,1,0
5,5,43,3,1,0,1,0
5,5,46,3,0,0,1,0
0,0,35,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,34,4,0,0,1,0
5,5,44,3,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,0,0,1,0
1,1,31,3,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,22,3,0,0,1,0
5,5,44,3,1,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,46,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,13,1,0,0,1,0
0,0,37,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,47,4,0,0,1,0
0,0,10,1,0,0,1,0
5,5,45,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,37,4,0,0,1,0
5,5,46,3,0,0,1,0
0,0,34,4,0,0,1,0
5,5,44,3,1,0,1,0
0,0,38,4,0,0,1,0
5,5,43,3,1,0,1,0
0,0,38,4,0,0,1,0
5,5,46,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,35,4,0,0,1,0
5,5,46,3,0,0,1,0
5,5,45,3,1,0,1,0
5,5,44,3,0,0,1,0
5,5,45,3,0,0,1,0
0,0,48,4,0,0,1,0
5,5,43,3,1,0,1,0
0,0,38,4,0,0,1,0
5,5,46,3,0,0,1,0
0,0,37,4,0,0,1,0
5,5,46,3,0,0,1,0
0,0,48,4,0,0,1,0
5,5,45,3,1,0,1,0
0,0,34,4,0,0,1,0
5,5,44,3,1,0,1,0
5,5,41,3,1,0,1,0
5,5,45,3,0,0,1,0
0,0,17,2,1,0,1,0
0,0,47,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,47,4,0,0,1,0
0,0,48,4,0,0,1,0
0,0,48,4,0,0,1,0
5,5,44,3,1,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,22,2,0,0,1,0
5,5,43,3,1,0,1,0
5,5,46,3,0,0,1,0
5,5,41,3,1,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,21,2,0,1,1,0
0,0,37,4,0,0,1,0
5,5,47,3,0,0,1,0
0,0,37,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,17,3,1,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
5,5,45,3,0,0,1,0
5,5,43,3,1,0,1,0
0,0,37,4,0,0,1,0
0,0,12,2,1,1,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,38,4,0,0,1,0
1,1,33,3,0,0,1,0
0,0,37,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,15,2,0,1,1,0
0,0,13,2,0,1,1,0
0,0,38,4,0,0,1,0
5,5,47,3,0,0,1,0
0,0,38,4,0,0,1,0
0,0,36,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,0,0,1,0
0,0,34,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,48,4,0,0,1,0
0,0,37,4,0,0,1,0
0,0,34,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,43,3,1,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,47,4,0,0,1,0
5,5,45,3,1,0,1,0
5,5,43,3,1,0,1,0
4,4,44,2,1,0,1,0
0,0,47,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,47,4,0,0,1,0
0,0,38,4,0,0,1,0
0,0,38,4,0,0,1,0
5,5,45,3,1,0,1,0
5,5,43,3,0,0,1,0
0,0,37,4,0,0,1,0
