ip_in_hostname,url_len
0,18
1,17
1,19
1,15
0,18
1,24
0,18
1,16
0,14
1,13
1,17
1,9
1,10
1,15
1,9
1,12
1,14
1,15
1,13
1,6
1,10
1,10
1,10
0,15
1,18
1,10
1,8
1,9
1,10
1,12
1,9
1,9
1,15
1,8
1,9
1,12
1,12
1,10
1,7
1,19
1,16
1,10
1,9
1,8
1,9
1,6
1,10
1,15
1,10
1,9
1,20
1,8
1,12
1,14
1,10
1,9
1,13
1,9
1,21
1,15
1,14
1,14
1,12
1,18
1,18
1,11
1,12
1,16
1,17
1,10
1,9
1,13
1,22
1,13
1,9
0,15
1,13
1,10
1,17
1,14
1,21
1,10
1,9
1,9
1,12
1,18
1,7
1,24
1,11
1,17
1,9
1,9
1,15
1,6
1,9
1,13
1,13
1,21
0,13
1,18
1,18
1,12
1,9
1,9
1,18
1,13
1,17
1,22
1,13
1,18
1,9
1,15
1,10
1,16
1,9
1,10
1,12
1,10
1,10
1,10
1,7
0,11
1,9
1,13
1,15
1,9
1,11
1,23
1,13
1,14
1,9
1,19
1,15
1,9
1,9
1,10
1,11
1,11
1,9
1,18
1,13
0,13
1,15
1,12
1,10
1,10
1,17
1,11
1,11
1,14
1,11
1,16
1,13
1,20
1,24
1,15
1,8
1,9
1,10
1,18
1,12
1,12
1,11
1,9
1,10
1,10
1,16
1,15
1,19
1,22
1,15
1,9
1,10
0,14
1,13
1,25
1,13
1,15
1,11
1,12
1,14
1,8
1,12
1,13
1,21
1,9
1,16
1,10
1,20
1,14
1,9
1,12
0,14
1,19
1,15
1,13
1,12
1,9
1,16
1,10
1,10
1,13
1,10
1,10
1,26
1,11
1,12
1,12
1,19
1,24
1,11
1,10
1,14
1,13
1,13
1,8
1,11
1,14
1,10
1,14
1,13
1,12
1,18
1,14
1,9
1,10
1,15
1,12
1,14
1,11
1,15
1,12
1,16
1,11
1,14
0,14
1,14
1,16
1,13
1,8
1,16
1,10
1,21
1,13
1,12
1,12
1,9
1,15
1,9
1,16
1,11
1,14
1,13
1,13
1,8
1,7
1,9
1,15
1,10
1,18
1,9
1,9
1,10
1,13
0,13
1,15
1,10
1,18
1,10
0,13
1,11
1,14
1,10
1,10
1,15
1,14
1,13
1,10
1,11
1,14
1,9
1,9
1,15
1,10
1,18
1,11
1,13
1,10
1,14
1,9
1,18
1,19
0,13
1,12
