n2u,ntc,e2c
907,9098,10591
256,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
907,9098,10591
256,1657,1826
907,9098,10591
256,1657,1826
256,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
907,9098,10591
251,1657,1826
256,1657,1826
256,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
265,276,365
251,1657,1826
251,1657,1826
907,9098,10591
251,1657,1826
256,1657,1826
256,1657,1826
907,9098,10591
251,1657,1826
907,9098,10591
251,1657,1826
256,1657,1826
907,9098,10591
256,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
332,2463,2556
251,1657,1826
256,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
256,1657,1826
907,9098,10591
907,9098,10591
251,1657,1826
251,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
232,232,365
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
907,9098,10591
251,1657,1826
256,1657,1826
256,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
907,9098,10591
256,1657,1826
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
907,9098,10591
256,1657,1826
251,1657,1826
256,1657,1826
907,9098,10591
256,1657,1826
256,1657,1826
256,1657,1826
907,9098,10591
256,1657,1826
251,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
907,9098,10591
256,1657,1826
256,1657,1826
256,1657,1826
256,1657,1826
907,9098,10591
251,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
251,1657,1826
391,391,365
256,1657,1826
251,1657,1826
256,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
183,2014,2191
907,9098,10591
251,1657,1826
907,9098,10591
251,1657,1826
251,1657,1826
251,1657,1826
183,2014,2191
907,9098,10591
907,9098,10591
251,1657,1826
256,1657,1826
251,1657,1826
251,1657,1826
907,9098,10591
907,9098,10591
907,9098,10591
377,3665,3652
251,1657,1826
251,1657,1826
251,1657,1826
251,1657,1826
256,1657,1826
256,1657,1826
